warning: `VIRTUAL_ENV=/home/s.nanako/nanoGPT/.venv` does not match the project environment path `.venv` and will be ignored
/home/s.nanako/nanogpt/.venv/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
/home/s.nanako/nanogpt/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
wandb: Currently logged in as: nac-39 (nac-39-nagoya-univ-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zvlytfeh
wandb: Tracking run with wandb version 0.22.3
wandb: Run data is saved locally in /home/s.nanako/nanogpt/wandb/run-20251110_184521-zvlytfeh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no-ffn-gpt2_1762767916.4742754
wandb: ⭐️ View project at https://wandb.ai/nac-39-nagoya-univ-/no-ffn-gpt2
wandb: 🚀 View run at https://wandb.ai/nac-39-nagoya-univ-/no-ffn-gpt2/runs/zvlytfeh
Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py
import time

wandb_log = True
# wandb_project = 'owt'
# wandb_run_name='gpt2-124M'
wandb_project = "no-ffn-gpt2"
wandb_run_name = "no-ffn-gpt2" + "_" + str(time.time())
# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.58M
num decayed parameter tensors: 62, with 124,354,560 parameters
num non-decayed parameter tensors: 13, with 9,984 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 11.1642, val loss 11.1697
iter 0: loss 11.1877, time 24489.56ms, mfu -100.00%
iter 10: loss 10.7631, time 5143.67ms, mfu 26.18%
iter 20: loss 10.0254, time 5153.36ms, mfu 26.17%
iter 30: loss 9.6837, time 5172.18ms, mfu 26.16%
iter 40: loss 9.4876, time 5176.89ms, mfu 26.14%
iter 50: loss 9.5119, time 5140.41ms, mfu 26.15%
iter 60: loss 9.2497, time 5126.24ms, mfu 26.16%
iter 70: loss 9.0656, time 5135.02ms, mfu 26.17%
iter 80: loss 8.9377, time 5133.35ms, mfu 26.17%
iter 90: loss 8.6601, time 5126.53ms, mfu 26.18%
iter 100: loss 8.5141, time 5121.80ms, mfu 26.19%
iter 110: loss 8.2950, time 5131.95ms, mfu 26.20%
iter 120: loss 8.0458, time 5138.17ms, mfu 26.20%
iter 130: loss 7.9322, time 5144.68ms, mfu 26.20%
iter 140: loss 7.9025, time 5123.40ms, mfu 26.20%
iter 150: loss 7.8218, time 5098.66ms, mfu 26.22%
iter 160: loss 7.4738, time 5081.06ms, mfu 26.25%
iter 170: loss 7.3482, time 5083.16ms, mfu 26.28%
iter 180: loss 7.3904, time 5091.49ms, mfu 26.29%
iter 190: loss 7.1815, time 5119.76ms, mfu 26.29%
iter 200: loss 7.3256, time 5135.46ms, mfu 26.29%
iter 210: loss 7.0529, time 5135.48ms, mfu 26.28%
iter 220: loss 7.1114, time 5163.56ms, mfu 26.26%
iter 230: loss 6.8537, time 5159.10ms, mfu 26.24%
iter 240: loss 6.7744, time 5156.26ms, mfu 26.23%
iter 250: loss 6.8948, time 5132.17ms, mfu 26.23%
iter 260: loss 6.5959, time 5180.07ms, mfu 26.21%
iter 270: loss 6.8599, time 5103.07ms, mfu 26.23%
iter 280: loss 6.5432, time 5117.29ms, mfu 26.23%
iter 290: loss 6.5265, time 5124.06ms, mfu 26.24%
iter 300: loss 6.5078, time 5150.48ms, mfu 26.23%
iter 310: loss 6.5692, time 5170.61ms, mfu 26.21%
iter 320: loss 6.3152, time 5173.07ms, mfu 26.19%
iter 330: loss 6.2092, time 5176.57ms, mfu 26.17%
iter 340: loss 6.4247, time 5156.28ms, mfu 26.17%
iter 350: loss 6.1708, time 5144.03ms, mfu 26.17%
iter 360: loss 6.1375, time 5236.60ms, mfu 26.12%
iter 370: loss 6.3186, time 5149.41ms, mfu 26.13%
iter 380: loss 6.0989, time 5144.04ms, mfu 26.13%
iter 390: loss 6.2053, time 5162.93ms, mfu 26.13%
iter 400: loss 6.2786, time 5180.55ms, mfu 26.11%
iter 410: loss 6.2084, time 5167.00ms, mfu 26.11%
iter 420: loss 6.2282, time 5150.73ms, mfu 26.11%
iter 430: loss 6.1451, time 5156.60ms, mfu 26.11%
iter 440: loss 6.0519, time 5118.80ms, mfu 26.13%
iter 450: loss 6.1026, time 5131.14ms, mfu 26.14%
iter 460: loss 6.0225, time 5130.14ms, mfu 26.15%
iter 470: loss 5.9343, time 5148.00ms, mfu 26.15%
iter 480: loss 6.0143, time 5156.09ms, mfu 26.15%
iter 490: loss 6.0367, time 5191.34ms, mfu 26.13%
iter 500: loss 5.8415, time 5246.74ms, mfu 26.08%
iter 510: loss 6.0031, time 5178.36ms, mfu 26.07%
iter 520: loss 6.0161, time 5168.28ms, mfu 26.07%
iter 530: loss 5.9930, time 5150.73ms, mfu 26.08%
iter 540: loss 5.7081, time 5158.00ms, mfu 26.08%
iter 550: loss 6.0594, time 5172.97ms, mfu 26.08%
iter 560: loss 5.9434, time 5180.24ms, mfu 26.07%
iter 570: loss 5.8007, time 5201.75ms, mfu 26.05%
iter 580: loss 5.8528, time 5169.42ms, mfu 26.05%
iter 590: loss 6.0084, time 5187.70ms, mfu 26.04%
iter 600: loss 5.7822, time 5173.70ms, mfu 26.04%
iter 610: loss 5.8217, time 5153.75ms, mfu 26.05%
